category,name,url,ingredients
Night Cream,Dot & Key Retinol + Ceramide Sleep Treatment Anti-Ageing Night Cream For Fine Lines & Wrinkles,https://www.nykaa.com/dot-key-glow-night-reset-retinol-ceramide-cream/p/2680224,"Key Ingredients:Hibiscus: A potent AHA,  it helps to exfoliate the skin and control its oil production. It also clears clogged pores, and promotes fresher, younger, and smoother looking skin. Sea Buckthorn Berry: Rich in vitamin E, it deeply hydrates and plumps, helping the skin maintain optimum moistureEvening Primrose Oil: Helps to soothe and moisturize the skin, while improving elasticity and promoting a healthy, clear, rejuvenated complexion.Marula Oil: High in antioxidants, essential fatty acids, and amino acids, it is extremely beneficial for oily, acne-prone, dry, and aging skinRetinol: A form of vitamin A, it helps fight acne, reduce wrinkles, stimulate collagen, and promote cellular turnoverCeramide: Helps prevent environmental damage and locks moisture into your skin, which helps prevent dryness and irritationHyaluronic Acid: Immensely hydrates skin to correct sunken under eyes. Makes skin look plump, fresh and supple"
Night Cream,"Olay Retinol 24 Max Anti Ageing Night Cream, Visibly Reduces Wrinkles In 7 Nights, Fragrance Free",https://www.nykaa.com/olay-retinol24-max-night-moisturiser/p/15007643,"Water, Dimethicone, Glycerin, Tapioca Starch,Dimethicone Crosspolymer, Polyacrylamide, C13-14 Isoparaffin, RetinylPropionate, Dmdm Hydantoin, Laureth-4, Polysorbate 20, Acrylates/C10-30Alkyl Acrylate Crosspolymer, Laureth-7, Dimethiconol,Polymethylsilsesquioxane, Aminomethyl Propanol, Titanium Dioxide, DisodiumEdta, Butylene Glycol, Niacinamide, Iodopropynyl Butylcarbamate,Caprylic/Capric Triglyceride, Retinol, Palmitoyl Pentapeptide-4"
Night Cream,Forest Essentials Transformative Soundarya Night Cream with 24K Gold,https://www.nykaa.com/forest-essentials-transformative-soundarya-night-cream-with-24k-gold/p/18407362,"Aqua, Sorbitan Olivate & Cetearyl Olivate (Olive oil derived emulsifier), Moringa Oleifera Oil** (Moringa seed oil), Caprylic Capric Triglycerides (Derived from coconut oil), Sesamum Indicum Oil**(Sesame seed oil), Triticum Vulgare Extract (Wheat germ extract), Prunus Amygdalus Dulcis Oil**(Cold pressed sweet almond oil), Ceramide III, Saccharide Isomerate, Polyglutamic Acid, Bakuchiol, Hydrolyzed Manihot Esculenta Tuber Extract, Betaine, Veg Squalane, Propanediol, Xanthan Gum, Hydrolyzed Sodium Hyaluronate (Sodium salt of hyaluronic acid), Folic Acid Ferment Filtrate Extract, Glycerin, Tocopherol Acetate (Vitamin E), Santalum Album Extract (Sandalwood essential oil), Milk, Crocus Sativus Extract (Kesar flower extract), Caprylyl Glycol, Phenoxyethanol, Glycyrrhiza Glabra (Licorice) Root Extract, Hexylene Glycol, Gold Bhasma, Curcuma Longa Root Extract (Turmeric root extract), Withania Somnifera (Ashwagandha) Root Extract, Jasminum Sambac Oil (Jasmine flower oil)."
Night Cream,Murad Retinol Youth Renewal Night Cream,https://www.nykaa.com/murad-retinol-youth-renewal-night-cream/p/6567364,Not Found
Night Cream,"Earth Rhythm Healing Cica Gel, Calms Redness and Fades Acne Scars in 4 Weeks",https://www.nykaa.com/earth-rhythm-healing-cica-gel/p/3720996,"Complete Ingredient List: Centella Asiatica Leaf Extract, Glycyrrhiza Glabra [Licorice] Root Extract, Ginseng Root Extract, Rubus Fruticosus [Blackberry] Extract, Calendula Officinalis [Calendula] Extract, Withania Somnifera [Ashwagandha] Extract, 100% Certified Organic Aloe Juice, Organic Glycerin, Xanthan Gum, Phenoxyethanol (and) Triethylene Gylcol."
Night Cream,"Olay Total Effects Night Cream, Fights 7 Signs Of Ageing With Niacinamide And Green Tea Extracts",https://www.nykaa.com/olay-total-effects-7-in-one-anti-ageing-night-firming-cream-50gm/p/261614,"Vitamin C, Green Tea, Niacinamide, Vitamin E, Panthenol"
Night Cream,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex With Hyaluronic Acid (Serum),https://www.nykaa.com/estee-lauder-advanced-night-repair-synchronized-multi-recovery-complex/p/833283,"Key Ingredients: Tripeptide-32: Estee Lauder's exclusive peptide that supports skin's natural day/night rhythm of protection by day and renewal at night. Sodium Hyaluronate: AKA Hyaluronic Acid, is a ferment that is a powerful moisture magnet."
Night Cream,Clinique Moisture Surge 100h Auto-replenishing Hydrator (Moisturizer),https://www.nykaa.com/clinique-moisture-surge-100h-auto-replenishing-hydrator/p/1129289,"Key Ingredients:- Aloe Bioferment + HA Complex: Combines two hydrating ingredients into one powerhouse complex to help attract moisture and retain it.- Aloe Bioferment: Clinique scientists transformed the aloe vera plant through an exclusive fermentation process. One of the benefits of fermentation is that it breaks apart larger molecules into smaller ones, making them more easily absorbed into skin. Made with lactobacillus, activated aloe water, and responsibly sourced and certified organic aloe extract powder, this nutrient-rich ingredient helps skin retain moisture. - Hyaluronic acid: This moisture-binding ingredient helps create a “moisture reservoir” for ideal hydration. The formula is expertly blended with two different molecular weights of hyaluronic acid.Other key ingredients include:- Activated aloe water: Pure water is infused with aloe barbadensis leaf extract, then supercharged to hold both positive and negative ionic charges.- Auto-Replenishing Technology: Using activated aloe water and caffeine, it helps trigger skin’s own rehydration system.- Blend of vitamins C and E: Helps provide antioxidant protection against daily dehydrators.Full Ingredients List: Water\\Aqua\\Eau, Dimethicone, Butylene Glycol, Glycerin, Trisiloxane, Trehalose, Sucrose, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Hydroxyethyl Urea, Camellia Sinensis (Green Tea) Leaf Extract, Silybum Marianum (Lady'S Thistle) Extract, Betula Alba (Birch) Bark Extract, Saccharomyces Lysate Extract, Aloe Barbadensis Leaf Water, Aloe Barbadensis Leaf Extract, Thermus Thermophillus Ferment, Caffeine, Sorbitol, Palmitoyl Hexapeptide-12, Sodium Hyaluronate, Caprylyl Glycol, Oleth-10, Sodium Polyaspartate, Aloe Barbadensis Leaf Polysaccharides, Lactobacillus Ferment Lysate, Saccharide Isomerate, Hydrogenated Lecithin, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Polymethacrylate, Tromethamine, Peg-8, Hexylene Glycol, Magnesium Ascorbyl Phosphate, Citric Acid, Bht, Disodium Edta, Sodium Citrate, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Red 4 (Ci 14700), Yellow 5 (Ci 19140)Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.)"
Night Cream,Cetaphil BHR Brightening Night Comfort Cream,https://www.nykaa.com/cetaphil-bhr-brightening-night-comfort-cream/p/1171878,"Aqua, Glycerin, Niacinamide, Butylene Glycol, Hydrogenated Polydecene, 1,2-Hexanediol, Cetearyl Alcohol, Cetearyl Olivate, Cetyl Ethylhexanoate, Sorbitan Olivate, Beeswax, Vinyl Dimethicone, Anhydroxylitol, Citric Acid, Ethylhexylglycerin, Glyceryl Stearate, Hyaluronic Acid, Hydrolyzed Cicer Seed Extract, Hydrolyzed Hyaluronic Acid, Pancratium Maritimum Extract, Pentasodium Pentetate, Propanediol, Rhododendron Chrysanthemum Leaf Extract, Sodium Hyaluronate, Sodium Polyacryloyldimethyl Taurate, Tocopherol, Tricholoma Matsutake Extract, Trideceth-10, Xylitol, Xylitylglucoside"
Night Cream,"Forest Essentials Kumkumadi Night Cream - Night Face Cream with Vitamin C, Kumkumadi Tailam",https://www.nykaa.com/forest-essentials-kumkumadi-teenage-night-cream/p/145231,"Key Ingredients: Kasturi Manjal, Kumkumadi Tailam, Saffron."
Night Cream,Clayco Rice & Sake Sleeping Mask Night Gel Cream With Vitamin C For Brightening & Hydration,https://www.nykaa.com/clayco-rice-and-sake-sleep-mask/p/12679711,"Key Ingredients: Sake: Japanese rice wine, a staple in J-Beauty, gently exfoliates skin, preserves moisture, and enriches with enzymes, amino acids, and saccharides for improved texture, elasticity, and nutrient replenishment.Hyaluronic Acid: Provides enduring skin nourishment and hydration, reduces blemishes, and promotes an even skin tone, ensuring skin health and vitality.Pentylene Glycol: Humectant with strong water-binding properties, hydrates skin and acts as a solvent, aiding ingredient penetration for enhanced effectiveness.Trehalose: Moisturizing and protective agent, safeguards skin and hair from dehydration, especially in dry conditions, ensuring sustained hydration and health.Aloe Vera Extract: Anti-aging miracle, fades fine lines, hydrates, reduces acne, and soothes irritated skin, promoting a youthful and refreshed complexion.Vitamin C: Small molecular weight antioxidant vital for skin health, aids collagen synthesis, offers photoprotection, reduces photodamage, and supports efficient wound healing for vibrant, healthy skin.Full Ingredient List: Aqua, Glycerin, Acrylate copolymer, Butylene Glycol, Propanediol, Disodium EDTA, Phenoxyethanol, Ethylhexylglycerin, Alpha-D-Glucopyranoside, Polysorbate 20, Polyvinylpyrrolidone, Ascorbyl Glucoside, Bio Recurso Rice Ferment, Sodium Acetylated Hyaluronate, Dimethicone, Aloe Barbadensis Leaf Juice Extract, Cyclopentasiloxane, Perfume, Colour."
Night Cream,Reequil 0.1% Retinol Night Creamtreat For Wrinkles & Skin Tightening,https://www.nykaa.com/re-equil-0-1percent-retinol-night-cream-for-wrinkles-skin-tightening/p/4299448,"Complete Ingredient List: Aqua, Glycerin, Ethylhexyl Methoxycrylene, Undecane and Tridecane, Butylene Glycol, Triheptanoin, Bidens Pilosa Extract (and) Elaeis Guineensis (Palm) Oil (and) Gossypium Herbaceum (Cotton) Seed Oil (and) Linum Usitatissimum (Linseed) Seed Oil (Revinage), Caprylhydroxamic Acid and 1,2-Hexanediol and Propanediol, Octyldodecanol, Trisodium Ethylenediamine Disuccinate, Hydrogenated Rapeseed Oil, Pentaerythrityl Tetraethylhexanoate, Sodium Stearoyl Glutamate, Behenyl Alcohol, Pentaerythrityl Distearate, Methyl Glucose Sesquistearate, Caprylic Capric Triglyceride and Physalis Angulata Extract, Methoxyhydroxyphenyl Isopropylnitrone, Citric Acid, Retinol and Polysorbate 20, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Sodium Polyacryloyldimethyl Taurate."
Night Cream,The Face Shop Pomegranate & 10% Collagen Korean Beauty Moisturizer - Anti Aging Day & Night Cream,https://www.nykaa.com/the-face-shop-pomegranate-collagen-volume-firming-cream/p/15488201,"Water/Eau, Butyrospermum Parkii (Shea) Butter, Propanediol, Pentaerythrityl, A Tetraethylhexanoate, Glycerin, Diisostearyl Malate, Dimethicone, Limnanthes Alba (Meadowfoam) Seed Oil, 1,2-Hexanediol,Peg-100 Stearate, Glyceryl Stearate, Stearyl Alcohol, Punica Granatum Fruit Extract, Panthenol, Caprylic/Capric Glycerides,Peg-240/Hdi Copolymer Bis-Decyltetradeceth-20 Ether, Sorbitan Sesquioleate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Polysorbate 60, Adenosine, Hydrolyzed Collagen, Illicium Verum (Anise) Fruit Extract, Caprylic/Capric Triglyceride, Potassium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium Edta, Caprylyl Glycol, Iron Oxides (CI 77491), Perfume/Fragrance."
Night Cream,"Olay Retinol Anti Ageing Night Cream For Youthful Looking Skin, No Irritation, Fragrance Free",https://www.nykaa.com/olay-night-cream-regenerist-retinol-24-moisturiser-8gm/p/1112372,Not Found
Night Cream,Neutrogena Visible Repair Retinol + Peptide Anti-Ageing Day & Night Cream For Wrinkles & Fine Lines,https://www.nykaa.com/neutrogena-visible-repair-regenerating-cream/p/16467663,"Water, Pentaerythrityl Tetraethylhexanoate, Glycerin, Dimethicone, PPG-15 Stearyl Ether, Butylene Glycol, Stearyl Alcohol, Cetearyl Alcohol, Glyceryl Behenate, Ceteareth-20, Isohexadecane, Zea Mays (Corn) Starch, Pentylene Glycol, Dimethicone Crosspolymer, Fragrance, Ammonium Acryloyldimethyltaurate/VP Copolymer, Caprylyl Glycol, Polyacrylamide, 4-t-Butylcyclohexanol, Sodium Polyacrylate, Chlorphenesin, Sodium Cocoyl Amino Acids, Carnosine, C13-14Isoparaffin, Polysorbate 20, Retinol, Hydrolyzed Myrtus Communis Leaf Extract, Disodium EDTA, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Sodium Hyaluronate, Laureth- 7, Ascorbic Acid, Sarcosine, Sodium Hydroxide, Magnesium Aspartate, Potassium Aspartate, Portulaca Oleracea Extract"
Night Cream,Estee Lauder Revitalizing Supreme+ Youth Power Creme Moisturizer with Hyaluronic Acid & Caffeine,https://www.nykaa.com/estee-lauder-revitalizing-supreme-youth-power-creme/p/4521780,"Key Ingredients: Moringa Oleifera Seed Extract: An extract** from the moringa oleifera plant, which is often called the ""miracle tree."" Estee Lauder's exclusive moringa oleifera seed extract helps to unlock anti-aging activity in the skin and also provides anti-oxidant and anti-irritant benefits. Responsibly Sourced, Traceable Ingredient. **patented extraction process Sodium Hyaluronate: AKA Hyaluronic Acid, is a ferment that is a powerful moisture magnet. Opuntia Tuna Extract: A plant extract from the prickly pear cactus that helps to strengthen the skin's moisture barrier."
Night Cream,"Plix 1.20% Retinol & 1% Bakuchi Oil Pomegranate Anti Ageing Night Cream, Reduce Fine Line & Wrinkles",https://www.nykaa.com/plix-pomegranate-youth-renewal-night-cream/p/13398672,"Bakuchi Oil, Pentavitin, Pomegranate Extract"
Night Cream,Lotus Botanicals Skin Brightening Night Face Cream|100% Vitamin C | Chemical Free|All Skin Types,https://www.nykaa.com/lotus-botanicals-vitamin-c-skin-brightening-night-creme/p/1238384,"Key Ingredient and Benefit:Vitamin C: A powerhouse ingredient, Vitamin C is well-known for its skin-brightening benefits. It fades spots, scars and pigmentation. It is a potent antioxidant that neutralizes free radicals created in the skin due to oxidative stress. It aids in skin's natural cell regeneration. It also helps recover skin and reduces redness either caused by sensitivity, overexposure to the sun or inflammatory skin disorders. It refreshes, energises and radiates the skin.Full Ingredient List: Aqua, Niacinamide, Glycerin, Polyacrylamide (and) C13-14 Isoparaffin (and) Laureth-7, Caprylic-capric triglyceride, Coco Glycerides, Heptyl Undecylenate, Propanediol, Sorbitan Stearate (and) Sucrose Cocoate, Glyceryl Stearate and PEG-100 Stearate, Xylitylglucoside (and) Anhydroxylitol (and) Xylitol, Titanium Dioxide & Isocetyl Stearoyl Stearate, Terminalia Ferdinandiana (Kakadu Plum) fruit extract, Enteromorpha Compressa Extract (and) Silybum Marianum Fruit Extract (and) Ocimum Sanctum Leaf Extract (and) Citric Acid, Tocopheryl acetate, EDTA Disodium, Butylated hydroxytoluene, Allantoin, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Caprylhydroxamic Acid (and) Phenethyl Alcohol, Fragrance."
Night Cream,LANEIGE Bouncy And Firm Sleeping Mask,https://www.nykaa.com/laneige-bouncy-and-firm-sleeping-mask/p/14231925,"Water / Aqua / Eau, Butylene Glycol, Glycerin, Dimethicone, 1,2-Hexanediol, Squalane, Diisostearyl Malate, C12-16 Alcohols, Ammonium AcryloylDimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Cetearyl Alcohol, Palmitic Acid, Hydrogenated Lecithin, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Polyacrylate Starch, Stearic Acid, Hydroxypropyl Bispalmitamide Mea, Mannitol, Lactobacillus Ferment Lysate, Propanediol, Ammonium AcryloyldimethylTaurate/Vp Copolymer, Cetearyl Glucoside, Xanthan Gum, Glyceryl Caprylate, Disodium Edta, Ethylhexylglycerin, Allantoin, Adenosine, Fragrance / Parfum, Acrylates/Ammonium Methacrylate Copolymer, Caprylyl Glycol, Carbomer, CholEsterol, Linalool, Silica, Malachite Extract, Citronellol, Geraniol, HydroxycitroNellal, Carthamus Tinctorius (Safflower) Flower Extract, Dextrin, Benzyl Salicylate, Cyanocobalamin, Hydrolyzed Collagen, Sodium Hyaluronate, Paeonia Albiflora Root Extract, Tocopherol, Hydrolyzed Hyaluronic Acid, Acetyl Tetrapeptide-2, Sodium Hyaluronate Crosspolymer, Hyaluronic Acid, Paeonia Albiflora Flower Extract, Sodium Acetylated Hyaluronate"
Night Cream,"Olay Super Collagen Peptides Moisturizer For Firm & Lifted Skin, Reduces 5 Signs Of Ageing",https://www.nykaa.com/olay-super-collagen-peptides-moisturizer/p/19519950,"""Water, glycerin, niacinamide, isohexadecane,Pentylene glycol, dimethicone, isopropyl isostearate, butylene glycol, polyacrylamide, mannitol, acetyl tetrapeptide-11, palmitoyl dipeptide-7, palmitoyl pentapeptide-4, acetyl hexapeptide-8, tripeptide-3, panthenol, tocopheryl acetate, stearyl alcohol, c13-14 isoparaffin, cetyl alcohol, 1,2-hexanediol, behenyl alcohol, caprylyl glycol, phenoxyethanol, dimethiconol, laureth-7, peg-100 stearate, disodium edta, fragrance, cetearyl alcohol, cetearyl glucoside, palmitic acid, stearic acid, titanium dioxide."""
